878,Postal 4: No Regerts,PS5,2023-03-29,44.99,0.00,44.99
863,Meet Your Maker,PS5,2023-04-04,0.00,0.00,0.00
905,Tails of Iron,PS5,2023-04-04,24.99,0.00,24.99
837,GRID Legends,PS5,2023-05-02,69.99,0.00,69.99
354,Descenders,PS4,2023-05-02,21.99,0.00,21.99
920,Tunic,PS5,2023-05-04,29.99,0.00,29.99
919,Trek to Yomi,PS5,2023-06-06,19.99,0.00,19.99
849,Jurassic World Evolution 2,PS5,2023-06-06,59.99,0.00,59.99
866,NBA 2K23,PS5,2023-06-06,39.99,0.00,39.99
801,Call of Duty: Black Ops Cold War,PS5,2023-07-04,74.99,0.00,74.99
819,Endling: Extinction is Forever,PS5,2023-07-04,29.99,0.00,29.99
787,Alan Wake Remastered,PS5,2023-07-04,29.99,0.00,29.99
812,Death`s Door,PS5,2023-08-02,19.99,0.00,19.99
893,Saints Row (2022),PS5,2023-09-05,69.99,0.00,69.99
403,Generation Zero,PS4,2023-09-05,29.99,0.00,29.99
572,Run Sausage Run!,PS4,2023-09-07,4.99,0.00,4.99
501,Monster Prom: XXL,PS4,2023-09-07,15.99,0.00,15.99
630,The Amazing American Circus,PS4,2023-09-07,19.99,0.00,19.99
660,Total Arcade Racing,PS4,2023-09-07,9.99,0.00,9.99
865,Music Racer: Ultimate,PS5,2023-09-07,6.99,0.00,6.99
856,Like a Dragon: Ishin,PS5,2023-09-07,59.99,0.00,59.99
818,Dungeon Munchies,PS5,2023-09-07,14.99,0.00,14.99
719,Budget Cuts,PSVR,2023-09-07,24.99,0.00,24.99
838,Grindstone,PS5,2023-09-08,19.99,0.00,19.99
509,Ni No Kuni II: Revenant Kingdom,PS4,2023-09-08,69.99,0.00,69.99
539,Primal,PS4,2023-09-08,9.99,0.00,9.99
412,Going Under,PS4,2023-09-08,19.99,0.00,19.99
442,Iris and the Giant,PS4,2023-09-08,14.99,0.00,14.99
925,Wonder Boy: The Dragon`s Trap,PS5,2023-09-08,19.99,0.00,19.99
871,Nour: Play with your Food,PS5,2023-09-12,14.99,0.00,14.99
508,Ni No Kuni: Wrath of the White Witch,PS4,2023-09-13,49.99,0.00,49.99
825,Farming Simulator 22,PS5,2023-10-03,39.99,0.00,39.99
926,Weird West: Definitive Edition,PS5,2023-10-03,39.99,0.00,39.99
908,The Callisto Protocol,PS5,2023-10-03,69.99,0.00,69.99
862,Marvel`s Spider-Man 2: Digital Deluxe Edition,PS5,2023-10-20,89.99,0.00,89.99
788,Aliens: Fireteam Elite,PS5,2023-11-07,29.99,0.00,29.99
890,Sable,PS5,2023-12-05,24.99,0.00,24.99
880,PowerWash Simulator,PS5,2023-12-05,24.99,0.00,24.99
854,LEGO 2K Drive,PS5,2023-12-05,69.99,0.00,69.99
857,Like a Dragon Gaiden: The Man Who Erased His Name,PS5,2023-12-25,54.99,0.00,54.99
