103,Bayonetta,PS3,2020-09-17,14.99,4.00,10.99,PlatinumGames,Japan
104,Beat Hazard Ultra,PS3,2012-02-05,6.99,6.99,0.00,Cold Beam Games,England
105,Bentley`s Hackpack,PS3,2021-03-30,1.99,1.99,0.00,Sanzaru Games,USA
106,Beyond Good and Evil HD,PS3,2021-02-10,9.99,9.99,0.00,Ubisoft Montpellier,France
107,Blur,PS3,2020-10-11,18.00,18.00,0.00,Bizarre Creations,England
108,Brink,PS3,2020-10-11,0.50,0.50,0.00,Splash Damage,England
109,Buzz! Quiz World,PS3,2020-10-11,42.00,42.00,0.00,Relentless Software,England
110,Call of Duty: Modern Warfare 2 (2009),PS3,2020-09-17,29.99,4.00,25.99,Infinity Ward,USA
111,Crazy Machines Elements,PS3,2011-11-20,4.99,4.99,0.00,FAKT Software,Germany
112,Daytona USA,PS3,2021-02-10,7.99,7.99,0.00,SEGA,Japan
113,Dead Rising 2,PS3,2020-09-17,14.99,3.50,11.49,Capcom Vancouver,Canada
114,Dead Space (2008),PS3,2020-09-17,12.99,4.00,8.99,EA Redwood Shores,USA
115,DeathSpank: The Baconing,PS3,2021-04-06,12.99,12.99,0.00,Hothead Games,Canada
116,Deus Ex: Human Revolution,PS3,2020-09-17,12.99,6.00,6.99,Eidos Montreal,Canada
117,Dishonored,PS3,2020-09-17,9.99,3.00,6.99,Arkane Studios,France
118,DJ Hero,PS3,2020-10-11,2.50,2.50,0.00,Ubisoft Leamington,England
119,DJ Hero 2,PS3,2020-10-11,2.50,2.50,0.00,Ubisoft Leamington,England
120,Duke Nukem Forever,PS3,2020-09-17,12.99,3.50,9.49,3D Realms,Denmark
121,Earthworm Jim HD,PS3,2010-12-26,9.99,9.99,0.00,Gameloft,France
122,F.E.A.R,PS3,2020-09-17,12.00,12.00,0.00,Monolith Productions,USA
123,F1 Race Stars,PS3,2013-04-10,9.99,9.99,0.00,Codemasters,England
124,Family Guy: Back to the Multiverse,PS3,2020-09-17,8.00,8.00,0.00,Heavy Iron Studios,USA
125,Far Cry Classic,PS3,2021-04-06,9.99,9.99,0.00,Crytek,Germany
126,Far Cry 2,PS3,2020-09-17,9.99,2.00,7.99,Ubisoft Montreal,Canada
127,Fat Princess,PS3,2013-05-10,9.99,9.99,0.00,Titan Studios,USA
128,FIFA Street (2012),PS3,2020-10-11,4.00,4.00,0.00,EA Vancouver,Canada
129,Fight Night Champion,PS3,2011-07-08,19.99,15.00,4.99,EA Vancouver,Canada
130,Final Exam,PS3,2021-04-06,9.99,9.99,0.00,Mighty Rocket Studio,France
131,Final Fantasy XIII,PS3,2013-06-02,4.00,4.00,0.00,Square Enix,Japan
132,Girl Fight,PS3,2021-04-13,7.99,7.99,0.00,Kung Fu Factory,USA
133,God of War (2005),PS3,2017-10-06,12.99,4.99,8.00,Santa Monica Studio,USA
134,God of War II (2007),PS3,2017-10-06,12.00,3.00,9.00,Santa Monica Studio,USA
135,Gran Turismo 5,PS3,2010-12-25,5.00,5.00,0.00,Polyphony Digital,Japan
136,Grand Theft Auto IV: The Complete Collection,PS3,2020-09-17,49.97,22.00,27.97,Rockstar North,Scotland
137,Hitman: Absolution,PS3,2020-10-11,14.99,5.00,9.99,IO Interactive,Denmark
138,ICO Classics HD,PS3,2021-08-14,10.00,10.00,0.00,Team Asobi (Japan Studio),Japan
139,inFamous,PS3,2011-06-12,8.99,8.99,0.00,Sucker Punch Productions,USA
140,inFamous 2,PS3,2013-04-09,8.00,8.00,0.00,Sucker Punch Productions,USA
141,inFamous: Festival of Blood,PS3,2014-12-26,8.00,8.00,0.00,Sucker Punch Productions,USA
142,Jet Car Stunts,PS3,2018-07-14,6.99,6.99,0.00,Grip Games,Czech Republic
143,Joe Danger 2: The Movie,PS3,2013-04-09,12.99,12.99,0.00,Hello Games,England
144,Kane and Lynch: Dead Men,PS3,2020-09-17,9.99,2.00,7.99,IO Interactive,Denmark
145,Kane and Lynch 2: Dog Days,PS3,2020-09-17,9.99,2.00,7.99,IO Interactive,Denmark
146,Killer is Dead,PS3,2015-06-05,19.99,18.00,1.99,Grasshopper Manufacture,Japan
147,Killzone,PS3,2021-04-06,12.99,12.99,0.00,Guerrilla Games,Netherlands
148,LA Noire,PS3,2013-10-12,29.99,29.99,0.00,Team Bondi,Australia
149,Lemmings (2007),PS3,2018-09-30,12.98,12.98,0.00,Team17,England
150,LittleBigPlanet,PS3,2009-12-31,10.50,10.50,0.00,Media Molecule,England
151,LittleBigPlanet 2,PS3,2011-12-18,29.98,19.49,10.49,Media Molecule,England
152,LittleBigPlanet Karting,PS3,2013-07-03,14.99,14.99,0.00,United Front Games,Canada
153,Lollipop Chainsaw,PS3,2013-12-20,12.00,12.00,0.00,Grasshopper Manufacture,Japan
154,Lone Survivor: The Director`s Cut,PS3,2018-09-30,9.99,9.99,0.00,Superflat Games,England
155,Mafia II,PS3,2013-08-09,29.99,10.00,19.99,2K Czech,Czech Republic
156,Malicious,PS3,2021-08-14,7.99,7.99,0.00,Alvion,Japan
157,Mensa Academy,PS3,2021-08-14,9.99,9.99,0.00,Silverball Studios,England
158,Metal Gear Solid 2: Sons of Liberty,PS3,2015-09-12,23.99,23.99,0.00,Kojima Productions,Japan
159,Metal Gear Solid 3: Snake Eater,PS3,2015-09-12,22.99,22.99,0.00,Kojima Productions,Japan
160,Metal Gear Solid 4: Guns of the Patriots,PS3,2021-03-30,14.99,14.99,0.00,Kojima Productions,Japan
161,Metal Gear Solid: Peace Walker,PS3,2021-04-06,8.00,8.00,0.00,Kojima Productions,Japan
162,Modnation Racers,PS3,2010-06-06,6.00,6.00,0.00,United Front Games,Canada
163,Mortal Kombat Arcade Kollection,PS3,2021-08-14,9.99,9.99,0.00,NetherRealm Studios,USA
164,Mortal Kombat (2011),PS3,2013-04-25,19.99,19.99,0.00,NetherRealm Studios,USA
165,Motorstorm: Pacific Rift,PS3,2010-05-04,5.00,5.00,0.00,Evolution Studios,England
166,Motorstorm Apocalypse,PS3,2013-04-28,14.99,14.99,0.00,Evolution Studios,England
167,Motorstorm RC,PS3,2017-10-06,8.99,3.99,5.00,Evolution Studios,England
168,Naughty Bear,PS3,2020-10-11,5.00,5.00,0.00,Artificial Mind and Movement,Canada
169,Need for Speed: Shift,PS3,2009-11-23,4.00,4.00,0.00,Slightly Mad Studios,England
170,Need for Speed: The Run,PS3,2011-12-08,19.99,4.00,15.99,EA Black Box,Canada
171,Need for Speed: Most Wanted (2012),PS3,2013-08-07,14.99,0.00,14.99,Criterion Games,England
172,Oddworld: Munch`s Oddysee,PS3,2013-01-31,8.99,8.99,0.00,Oddworld Inhabitants,USA
173,Oddworld: Stranger`s Wrath,PS3,2012-01-21,12.99,12.99,0.00,Oddworld Inhabitants,USA
174,PAYDAY: The Heist,PS3,2013-07-06,12.99,12.99,0.00,Overkill Software,Sweden
175,PlayStation All-Stars Battle Royale,PS3,2013-07-25,14.99,14.99,0.00,Superbot Entertainment,USA
176,PlayStation Move Heroes,PS3,2020-09-17,12.49,7.50,4.99,Nihilistic Software,USA
177,Prince of Persia: The Sands of Time,PS3,2021-03-30,5.00,5.00,0.00,Ubisoft Montreal,Canada
178,Prince of Persia: The Two Thrones,PS3,2021-03-30,4.99,4.99,0.00,Ubisoft Montreal,Canada
179,Prince of Persia: Warrior Within,PS3,2021-03-30,5.00,5.00,0.00,Ubisoft Montreal,Canada
180,Pro Evolution Soccer 2010,PS3,2010-01-14,0.50,0.50,0.00,Konami,Japan
181,Quantum Conundrum,PS3,2021-08-14,10.99,10.99,0.00,Airtight Games,USA
182,Ratchet & Clank (2002),PS3,2014-12-06,8.99,3.99,5.00,Insomniac Games,USA
183,Ratchet & Clank 2,PS3,2014-12-06,8.00,3.00,5.00,Insomniac Games,USA
184,Ratchet & Clank 3,PS3,2014-12-06,8.00,3.00,5.00,Insomniac Games,USA
185,Ratchet: Gladiator,PS3,2015-01-07,14.99,14.99,0.00,Insomniac Games,USA
186,Ratchet & Clank Future: Tools of Destruction,PS3,2020-09-17,14.99,10.00,4.99,Insomniac Games,USA
187,Ratchet & Clank Future: Quest for Booty,PS3,2020-09-17,9.99,9.99,0.00,Insomniac Games,USA
188,Ratchet & Clank Future: A Crack in Time,PS3,2010-06-09,14.99,10.00,4.99,Insomniac Games,USA
189,Ratchet & Clank: QForce,PS3,2018-01-15,14.99,4.99,10.00,Insomniac Games,USA
190,Ratchet & Clank: Nexus,PS3,2021-02-10,14.99,14.99,0.00,Insomniac Games,USA
191,Rayman 3: Hoodlum Havoc HD,PS3,2021-02-10,9.99,9.99,0.00,Ubisoft Montpellier,France
192,Rayman Origins,PS3,2015-10-22,29.98,26.99,2.99,Ubisoft Montpellier,France
193,Red Dead Redemption,PS3,2020-09-17,44.98,18.00,26.98,Rockstar San Diego,USA
194,Resistance: Fall of Man,PS3,2020-09-17,2.00,2.00,0.00,Insomniac Games,USA
195,Saints Row 2,PS3,2023-02-14,4.99,0.00,4.99,Deep Silver Volition,USA
196,Sam and Max Season 3: The Devil`s Playhouse TTG,PS3,2022-09-28,24.99,24.99,0.00,Telltale Games,USA
197,Shadow of the Colossus Classics HD,PS3,2021-08-14,9.99,9.99,0.00,Team Asobi (Japan Studio),Japan
198,Silent Hill HD Collection,PS3,2020-10-11,22.00,22.00,0.00,Konami,Japan
199,Siren Blood Curse,PS3,2021-03-30,12.99,12.99,0.00,Team Asobi (Japan Studio),Japan
200,Skate 2,PS3,2010-06-09,12.00,12.00,0.00,EA Black Box,Canada
201,Sly Cooper and the Thievius Raccoonus,PS3,2016-11-26,8.99,1.99,7.00,Sucker Punch Productions,USA
202,Sly 2: Band of Thieves,PS3,2016-11-26,8.00,3.00,5.00,Sucker Punch Productions,USA
203,Sly 3: Honour Among Thieves,PS3,2016-11-26,8.00,3.00,5.00,Sucker Punch Productions,USA
204,Sonic Generations,PS3,2021-03-30,14.99,14.99,0.00,SEGA,Japan
205,Spec Ops: The Line,PS3,2021-08-14,19.99,19.99,0.00,Yager Development,Germany
206,Streets of Rage 2,PS3,2011-06-25,4.49,4.49,0.00,SEGA,Japan
207,Super Rub a Dub,PS3,2021-04-13,4.99,4.99,0.00,Sumo Digital,England
208,Superfrog HD,PS3,2013-10-11,9.99,9.99,0.00,Team17,England
209,Syndicate,PS3,2014-02-23,1.00,1.00,0.00,Starbreeze Studios,Sweden
210,Tales of Graces f,PS3,2015-01-17,15.00,15.00,0.00,Bandai Namco Studios,Japan
211,Tales of Xillia,PS3,2015-01-17,14.99,14.99,0.00,Bandai Namco Studios,Japan
212,Tekken 5: Dark Resurrection,PS3,2021-08-14,19.99,19.99,0.00,Bandai Namco Studios,Japan
213,Tekken Revolution,PS3,2013-08-05,0.00,0.00,0.00,Bandai Namco Studios,Japan
214,The Amazing Spider-Man,PS3,2020-10-11,15.00,15.00,0.00,Beenox,Canada
215,The Cave,PS3,2021-08-14,9.99,0.00,9.99,Double Fine Productions,USA
216,The Cube,PS3,2021-04-13,9.99,9.99,0.00,Funbox Media,England
217,The Darkness,PS3,2020-09-17,3.00,3.00,0.00,Starbreeze Studios,Sweden
