Game,Console,Developer,Country
Helldivers,PlayStation 4,Arrowhead Game Studios,Sweden
Hitman 2,PlayStation 4,IO Interactive,Denmark
Hohokum,PlayStation 4,Honeyslug,England
Hollow Knight: Voidheart Edition,PlayStation 4,Team Cherry,Australia
Home,PlayStation 4,Benjamin Rivers Inc,Canada
HoPiKo,PlayStation 4,Laser Dog,England
Horizon Zero Dawn,PlayStation 4,Guerrilla Games,Netherlands
Hotline Miami,PlayStation 4,Dennaton Games,Sweden
Hotline Miami 2: Wrong Number,PlayStation 4,Dennaton Games,Sweden
Hue,PlayStation 4,Fiddlesticks,England
I am Bread,PlayStation 4,Bossa Studios,England
inFamous First Light,PlayStation 4,Sucker Punch Productions,USA
inFamous Second Son,PlayStation 4,Sucker Punch Productions,USA
Injustice: Gods Among Us,PlayStation 4,NetherRealm Studios,USA
Injustice 2,PlayStation 4,NetherRealm Studios,USA
Jak 3,PlayStation 4,Naughty Dog,USA
Jak and Daxter: The Precursor Legacy,PlayStation 4,Naughty Dog,USA
Jak II,PlayStation 4,Naughty Dog,USA
Jak X,PlayStation 4,Naughty Dog,USA
Jazzpunk: Director's Cut,PlayStation 4,Necrophone Games,Canada
Jetpack Joyride,PlayStation 4,Halfbrick Studios,Australia
Journey,PlayStation 4,thatgamecompany,USA
Just Die Already,PlayStation 4,DoubleMoose Games,Sweden
Kandagawa Jet Girls,PlayStation 4,Honey Parade Games,Japan
Katamari Damacy: Reroll,PlayStation 4,Namco,Japan
Keep Talking and Nobody Explodes,PlayStation 4,Steel Crate Games,Canada
Kingdom Hearts HD 1.5 & 2.5 Remix,PlayStation 4,Square Enix,Japan
Kingdom Hearts HD 2.8 Final Chapter Prologue,PlayStation 4,Square Enix,Japan
Kingdom Hearts III,PlayStation 4,Square Enix,Japan
Kingdoms of Amalur: Re-Reckoning,PlayStation 4,Kaiko,Germany
Knack,PlayStation 4,Team Asobi,Japan
Knack 2,PlayStation 4,Team Asobi,Japan
LA Cops,PlayStation 4,Modern Dream,England
LEGO City Undercover,PlayStation 4,TT Games,England
LEGO DC Super-Villains,PlayStation 4,TT Games,England
LEGO Harry Potter Collection,PlayStation 4,TT Games,England
LEGO Marvel,PlayStation 4,TT Games,England
Leisure Suit Larry: Wet Dreams Don't Dry,PlayStation 4,CrazyBunch,Germany
Leisure Suit Larry: Wet Dreams Dry Twice,PlayStation 4,CrazyBunch,Germany
Lichtspeer,PlayStation 4,Lichthund,Poland
Life Is Strange,PlayStation 4,Dontnod Entertainment,France
Little Nightmares,PlayStation 4,Tarsier Studios,Sweden
LittleBigPlanet 3,PlayStation 4,Sumo Digital,England
LocoRoco,PlayStation 4,Team Asobi,Japan
Lovers In A Dangerous Spacetime,PlayStation 4,Asteroid Base,Canada
LUMO,PlayStation 4,Just Add Water Ltd,England
Mafia III,PlayStation 4,Hangar 13,USA
Mafia: Definitive Edition,PlayStation 4,Hangar 13,USA
Manhunt,PlayStation 4,Rockstar North,Scotland
Manual Samuel,PlayStation 4,Perfectly Paranormal,Norway
Marvel's Guardians Of The Galaxy TTG,PlayStation 4,Telltale Games,USA
Marvel's Spider-Man,PlayStation 4,Insomniac Games,USA
Mass Effect: Legendary Edition,PlayStation 4,Bioware,Canada
Max Payne,PlayStation 4,Remedy Entertainment,Finland
MediEvil,PlayStation 4,Other Ocean Emeryville,USA
Mega Man Legacy Collection,PlayStation 4,Digital Eclipse,USA
Mega Man Legacy Collection 2,PlayStation 4,Capcom,Japan
Mega Man X Legacy Collection,PlayStation 4,Capcom,Japan
Mega Man X Legacy Collection 2,PlayStation 4,Capcom,Japan
Metal Gear Solid V: The Phantom Pain,PlayStation 4,Kojima Productions,Japan
Metro Redux,PlayStation 4,4A Games,Ukraine
Micro Machines World Series,PlayStation 4,Codemasters,England
Minutes,PlayStation 4,Red Phantom Games,England
Monopoly Family Fun Pack,PlayStation 4,Asobo Studio,France
Monster Hunter World,PlayStation 4,Capcom,Japan
Mortal Kombat X,PlayStation 4,NetherRealm Studios,USA
Mortal Shell,PlayStation 4,Cold Symmetry,USA
Mother Russia Bleeds,PlayStation 4,Le Cartel Studio,France
Need for Speed Heat,PlayStation 4,EA Gothenburg,Sweden
Neon Chrome,PlayStation 4,10tons,Finland
Neon Drive,PlayStation 4,Fraoula,Slovenia
Night Book,PlayStation 4,Wales Interactive,Wales
Ninja Senki DX,PlayStation 4,Tribute Games,Canada
Nitroplus Blasterz: Heroines Infinite Duel,PlayStation 4,Team Arcana,Japan
Octodad: Dadliest Catch,PlayStation 4,Young Horses,USA
Oddworld: New 'n' Tasty,PlayStation 4,Just Add Water Ltd,England
Okami HD,PlayStation 4,Clover Studio,Japan
OlliOlli 2,PlayStation 4,Roll7,England
OlliOlli: Epic Combo Edition,PlayStation 4,Roll7,England
One Piece Unlimited World Red,PlayStation 4,Ganbarion,Japan
Onee Chanbara Origin,PlayStation 4,Tamsoft,Japan
Outbreak: Epidemic,PlayStation 4,Dead Drop Studios LLC,USA
Outlast,PlayStation 4,Red Barrels,Canada
Oxenfree,PlayStation 4,Night School Studio,USA
Pac-Man 256,PlayStation 4,Hipster Whale,Australia
PaRappa The Rapper 2,PlayStation 4,NanaOn-Sha,Japan
PaRappa The Rapper Remastered,PlayStation 4,Team Asobi,Japan
Party Hard,PlayStation 4,Pinokl Games,Ukraine
Party Hard 2,PlayStation 4,Pinokl Games,Ukraine
Persona 5,PlayStation 4,Atlus,Japan
Persona 5 Strikers,PlayStation 4,Omega Force,Japan
PGA Tour 2K21,PlayStation 4,HB Studios,Canada
Pic-A-Pix Color,PlayStation 4,Lightwood Games,England
