Game,Console,Purchase Date
PaRappa The Rapper 2,PS4,06/09/2016
PaRappa The Rapper Remastered,PS4,11/07/2017
Party Hard,PS4,04/08/2017
Party Hard 2,PS4,08/02/2023
Persona 5,PS4,22/12/2017
Persona 5 Strikers,PS4,04/01/2022
PGA Tour 2K21,PS4,05/10/2021
Pic-A-Pix Color,PS4,10/11/2018
PixelJunk Shooter Ultimate,PS4,17/03/2017
Plants vs Zombies: Battle for Neighborville,PS4,13/05/2020
Please Don't Touch Anything,PS4,23/08/2021
Poltergeist: A Pixelated Horror,PS4,01/06/2017
Polybius,PS4,24/02/2018
PONG Quest,PS4,17/02/2022
Postal Redux,PS4,27/05/2022
Psychonauts,PS4,10/09/2016
Psychonauts 2,PS4,21/11/2021
Pumped BMX+,PS4,23/07/2017
Putty Squad,PS4,29/11/2018
Quake,PlayStation 4,27/05/2022,166
Quest Of Dungeons,PlayStation 4,04/05/2017,"1,738"
Rally Copters,PlayStation 4,14/07/2018,"1,302"
Ratchet & Clank,PlayStation 4,22/12/2017,"1,506"
Rayman Legends,PlayStation 4,06/09/2015,"2,344"
Red Dead Redemption 2,PlayStation 4,11/10/2019,848
Red Dead Revolver,PlayStation 4,03/08/2017,"1,647"
Resident Evil,PlayStation 4,19/09/2019,870
Resident Evil 0,PlayStation 4,19/09/2019,870
Resident Evil 2,PlayStation 5,27/09/2022,28
Resident Evil 3,PlayStation 5,27/09/2022,28
Resident Evil 4,PlayStation 4,19/09/2019,870
Resident Evil 5,PlayStation 4,10/11/2021,87
Resident Evil 6,PlayStation 4,10/11/2021,87
Resident Evil 7,PlayStation 5,27/09/2022,28
Resident Evil Revelations,PlayStation 4,22/06/2019,959
Resident Evil Revelations 2,PlayStation 4,22/06/2019,959
Resident Evil: Re:Verse,PlayStation 4,20/10/2021,108
Resident Evil: Resistance,PlayStation 4,30/09/2021,128
RESOGUN,PlayStation 4,09/07/2017,"1,672"
Retro City Rampage DX,PlayStation 4,10/09/2016,"1,974"
Riptide GP: Renegade,PlayStation 4,04/08/2017,"1,646"
Rise Of The Tomb Raider,PlayStation 4,24/06/2018,"1,322"
Risk Of Rain,PlayStation 4,03/08/2017,"1,647"
Road Redemption,PlayStation 4,21/07/2021,199
Rock Boshers DX: Director's Cut,PlayStation 4,07/04/2017,"1,765"
Rocket League,PlayStation 4,19/01/2017,"1,843"
Rocketbirds 2: Evolution,PlayStation 4,06/09/2016,"1,978"
Rogue Legacy,PlayStation 4,15/01/2017,"1,847"
Rollercoaster Dreams,PlayStation 4,,"44,597"
Rustler,PlayStation 4,27/05/2022,166
Saban's Mighty Morphin Power Rangers: Mega Battle,PlayStation 4,23/02/2019,"1,078"
Saints Row IV: Gat out of Hell,PlayStation 4,17/09/2020,506
Saints Row IV: Re-Elected,PlayStation 4,17/09/2020,506
Sam and Max Season 1 Save The World TTG,PlayStation 4,02/10/2022,21
Sam and Max Season 2 Beyond Time and Space TTG,PlayStation 4,02/10/2022,21
Scott Pilgrim vs The World: The Game,PlayStation 4,23/08/2021,166
Scribblenauts Mega Pack,PlayStation 4,22/03/2020,685
Sekiro: Shadows Die Twice,PlayStation 4,25/12/2019,773
Shovel Knight: Pocket Dungeon,PlayStation 4,20/12/2022,50
Shovel Knight: Treasure Trove,PlayStation 4,29/08/2018,"1,256"
ShredIt,PlayStation 4,04/08/2017,"1,646"
Slain,PlayStation 4,01/06/2017,"1,710"
Slay the Spire,PlayStation 4,05/04/2022,"1,524"
Sleeping Dogs,PlayStation 4,06/07/2019,945
Slender: The Arrival,PlayStation 4,04/11/2020,458
Sniper Elite V2 Remastered,PlayStation 4,27/05/2022,166
Sonic Mania,PlayStation 4,14/08/2017,"1,636"
SoulCalibur VI,PlayStation 4,,"44,597"
Sound Shapes,PlayStation 4,09/07/2017,"1,672"
South Park: The Fractured But Whole,PlayStation 4,12/12/2017,"1,516"
South Park: The Stick of Truth,PlayStation 4,12/12/2017,"1,516"
Spelunky,PlayStation 4,25/12/2020,407
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,PlayStation 4,23/08/2021,166
Spy Chameleon,PlayStation 4,07/04/2017,"1,765"
Spyro Reignited Trilogy,PlayStation 4,13/11/2018,"1,180"
Star Wars Episode I: Racer,PlayStation 4,28/08/2020,526
Stardew Valley,PlayStation 4,03/08/2017,"1,647"
Stealth Inc 2: A Game Of Clones,PlayStation 4,17/03/2017,"1,786"
Stealth Inc: A Clone In The Dark,PlayStation 4,17/03/2017,"1,786"
SteamWorld Dig,PlayStation 4,15/01/2017,"1,847"
SteamWorld Dig 2,PlayStation 4,06/01/2022,30
SteamWorld Heist,PlayStation 4,19/01/2017,"1,843"
Stikbold! A Dodgeball Adventure,PlayStation 4,13/05/2020,633
Stranded Deep,PlayStation 4,19/05/2021,262
Street Fighter 30th Anniversary Collection,PlayStation 4,,"44,597"
Super Kickers League Ultimate,PlayStation 4,07/07/2021,213
Super Meat Boy!,PlayStation 4,25/02/2017,"1,806"
Super Monkey Ball: Banana Blitz HD,PlayStation 4,30/06/2021,220
Super Stardust Ultra,PlayStation 4,19/01/2017,"1,843"
Superbeat: Xonic EX,PlayStation 4,20/05/2017,"1,722"
Supermarket Shriek,PlayStation 4,23/08/2021,166
Surgeon Simulator,PlayStation 4,05/12/2019,793
Switch Galaxy Ultra,PlayStation 4,25/12/2015,"2,234"
Syrup and the Ultimate Sweet,PlayStation 4,04/03/2020,703
Table Top Racing: World Tour,PlayStation 4,11/10/2019,848
Tales From The Borderlands TTG,PlayStation 4,01/04/2015,"2,502"
Team Sonic Racing,PlayStation 4,01/03/2022,128
Tearaway Unfolded,PlayStation 4,07/08/2017,"1,643"
Tekken 7,PlayStation 4,06/11/2018,"1,187"
Tembo The Badass Elephant,PlayStation 4,17/03/2017,"1,786"
Tennis in the Face,PlayStation 4,07/04/2017,"1,765"
Tennis World Tour 2,PlayStation 4,03/08/2021,186
Terraria,PlayStation 4,22/11/2015,"2,267"
Tethered,PlayStation 4,,"44,597"
Tetris Ultimate,PlayStation 4,22/09/2016,"1,962"
That's You!,PlayStation 4,,"44,597"
The Binding of Isaac: Rebirth,PlayStation 4,25/12/2020,407
The Bug Butcher,PlayStation 4,04/05/2017,"1,738"
The Complex,PlayStation 4,20/03/2022,"1,524"
The Crew,PlayStation 4,25/02/2017,"1,806"
The Disney Afternoon Collection,PlayStation 4,07/01/2021,394
The Escapists,PlayStation 4,19/01/2017,"1,843"
The Evil Within,PlayStation 4,04/12/2017,"1,524"
The Flame in the Flood,PlayStation 4,13/05/2020,633
The Last Guardian,PlayStation 4,12/07/2021,208
The Last of Us Part II,PlayStation 4,09/09/2020,514
The Last Of Us Remastered,PlayStation 4,26/12/2017,"1,502"
The Last Of Us: Left Behind Remastered,PlayStation 4,11/09/2016,"1,973"
The Outer Worlds,PlayStation 4,03/02/2023,7
The Sims 4,PlayStation 4,08/12/2017,"1,520"
The Swapper,PlayStation 4,20/05/2017,"1,722"
The Unfinished Swan,PlayStation 4,09/07/2017,"1,672"
The Walking Dead Final Season TTG,PlayStation 4,25/12/2019,773
The Walking Dead Season 1 TTG,PlayStation 4,25/12/2015,"2,234"
The Walking Dead Season 2 TTG,PlayStation 4,21/10/2016,"1,933"
The Walking Dead Season 3 TTG,PlayStation 4,04/10/2018,"1,220"
The Warriors,PlayStation 4,03/08/2017,"1,647"
The Witness,PlayStation 4,04/08/2017,"1,646"
The Wolf Among Us TTG,PlayStation 4,16/03/2017,"1,787"
Think of the Children,PlayStation 4,23/08/2021,166
This Is The Police,PlayStation 4,24/06/2018,"1,322"
Thomas Was Alone,PlayStation 4,03/04/2017,"1,769"
