Game,Price,Paid,Savings,Compatibility,
forma.8,€9.99,€2.99,€7.00,VITA,
Formula Retro Racing,€5.99,€3.59,€2.40,,
Fortnite,€0.00,€0.00,€0.00,,
Futuridium,€9.99,€2.99,€7.00,VITA,
Game Of Thrones TTG,€14.99,€14.99,€0.00,,
Genshin Impact,€0.00,€0.00,€0.00,,
Geometry Wars 3: Dimensions Evolved,€14.99,€3.99,€11.00,,
Ghost Blade HD,€8.99,€3.99,€5.00,,
Ghost of Tsushima,€69.99,€49.69,€20.30,,
Ghostrunner,€29.99,€0.00,€29.99,,
Ghostwire: Tokyo,€69.99,€34.99,€35.00,,
Goat Simulator,€31.95,€18.55,€13.40,,
God of War,€19.99,€0.00,€19.99,,
God of War III Remastered,€19.99,€9.99,€10.00,,
Godfall,€14.99,€0.00,€14.99,,
Grand Ages: Medieval,€39.99,€3.99,€36.00,,
Grand Theft Auto III,€10.99,€5.99,€5.00,,
Grand Theft Auto V,€109.98,€34.98,€75.00,PS3,
Grand Theft Auto: San Andreas,€12.00,€7.00,€5.00,,
Grand Theft Auto: Vice City,€12.00,€7.00,€5.00,,
Grim Fandango Remastered,€14.99,€3.99,€11.00,VITA,
Hatoful Boyfriend,€9.99,€2.99,€7.00,VITA,
Heart&Slash,€19.99,€3.99,€16.00,,
Heavy Rain,€22.99,€8.99,€14.00,PS3,
Hell Let Loose,€39.99,€0.00,€39.99,,
Helldivers,€29.99,€29.99,€0.00,PS3 and VITA,
Hitman 2,€69.99,€0.00,€69.99,,
Hohokum,€12.99,€3.99,€9.00,PS3 and VITA,
Hollow Knight: Voidheart Edition,€14.49,€0.00,€14.49,,
Home,€4.99,€1.99,€3.00,VITA,
HoPiKo,€6.99,€1.99,€5.00,,
Horizon Zero Dawn,€34.98,€27.98,€7.00,,
Hotline Miami,€0.00,€0.00,€0.00,PS3 and VITA,
I am Bread,€12.99,€2.59,€10.40,,
inFamous First Light,€14.99,€7.99,€7.00,,
inFamous Second Son,€14.99,€6.99,€8.00,,
Infliction: Extended Cut,€17.99,€8.99,€9.00,,
Injustice: Gods Among Us,€59.99,€9.59,€50.40,,
In Rays of the Light,€7.99,€5.59,€2.40,,
It Takes Two,€39.99,€19.99,€20.00,,
Jak 3,€26.98,€26.98,€0.00,PS3 and VITA,
