522,Oxenfree,2017-08-07,Night School Studio,USA
285,Art Of Balance,2017-08-07,Shin`en Multimedia,Germany
621,Tearaway Unfolded,2017-08-07,Media Molecule,England
590,Sonic Mania,2017-08-14,Christian Whitehead,Australia
485,Marvel`s Guardians Of The Galaxy TTG,2017-08-22,Telltale Games,USA
300,BioShock 1 & 2: The Collection,2017-08-22,Blind Squirrel Games,USA
301,BioShock Infinite: The Collection,2017-08-22,Blind Squirrel Games,USA
306,Borderlands: The Handsome Collection,2017-08-22,Gearbox Software,USA
269,[Prototype],2017-08-22,Radical Entertainment,Canada
270,[Prototype 2],2017-08-22,Radical Entertainment,Canada
668,Tropico 5,2017-08-22,Haemimont Games,Bulgaria
700,Worms Battlegrounds,2017-08-22,Team17,England
701,Worms WMD,2017-08-22,Team17,England
389,FIFA 18,2017-09-29,EA Vancouver,Canada
409,God of War III Remastered,2017-10-06,Santa Monica Studio,USA
477,LittleBigPlanet 3,2017-10-06,Sumo Digital,England
75,Daxter,2017-10-06,Ready At Dawn,USA
77,Everybody`s Golf 2,2017-10-06,Clap Hanz,Japan
97,Wipeout Pulse,2017-10-06,Psygnosis,England
133,God of War (2005),2017-10-06,Santa Monica Studio,USA
134,God of War II (2007),2017-10-06,Santa Monica Studio,USA
167,Motorstorm RC,2017-10-06,Evolution Studios,England
86,Jak and Daxter: The Lost Frontier,2017-10-06,High Impact Games,USA
62,Twisted Metal (1995),2017-10-06,SingleTrac,USA
63,UmJammer Lammy,2017-10-06,NanaOn-Sha,Japan
64,Vib-Ribbon,2017-10-06,NanaOn-Sha,Japan
65,Wipeout (1995),2017-10-06,Psygnosis,England
32,Motor Toon Grand Prix 2,2017-10-06,Polyphony Digital,Japan
36,Rally Cross,2017-10-06,989 Studios,USA
12,Destruction Derby,2017-10-06,Reflections Interactive,England
49,Syphon Filter,2017-10-06,Bend Studio,USA
255,Sly Cooper: Thieves in Time,2017-10-06,Sanzaru Games,USA
424,Helldivers,2017-10-08,Arrowhead Game Studios,Sweden
334,Croixleur Sigma,2017-11-30,souvenir circ,Japan
637,The Evil Within,2017-12-04,Tango Gameworks,Japan
644,The Sims 4,2017-12-08,Maxis,USA
446,Jak X: Combat Racing,2017-12-09,Naughty Dog,USA
352,Death Squared,2017-12-10,SMG Studio,Australia
593,South Park: The Stick of Truth,2017-12-12,Obsidian Entertainment,USA
594,South Park: The Fractured But Whole,2017-12-12,Ubisoft San Francisco,USA
528,Persona 5,2017-12-22,Atlus,Japan
547,Ratchet & Clank (2016),2017-12-22,Insomniac Games,USA
491,Mega Man Legacy Collection 2,2017-12-22,Capcom,Japan
681,Uncharted 4: A Thief`s End,2017-12-22,Naughty Dog,USA
683,Undertale,2017-12-22,tobyfox,USA
640,The Last Of Us Remastered,2017-12-26,Naughty Dog,USA
518,One Piece Unlimited World Red,2017-12-31,Ganbarion,Japan
